"Neighbourhood","Ward","City","FID"
"Woodstock Road","12","Fredericton","766"
"Woodstock Road","12","Fredericton","767"
"Woodstock Road","12","Fredericton","768"
"Woodstock Road","12","Fredericton","769"
"Woodstock Road","12","Fredericton","770"
"Woodstock Road","12","Fredericton","771"
"Woodstock Road","12","Fredericton","772"
"Woodstock Road","12","Fredericton","773"
"Woodstock Road","12","Fredericton","774"
"Woodstock Road","12","Fredericton","775"
"Woodstock Road","12","Fredericton","776"
"Woodstock Road","0","Fredericton","777"
"Woodstock Road","12","Fredericton","778"
"Woodstock Road","12","Fredericton","779"
"Woodstock Road","12","Fredericton","780"
"Woodstock Road","12","Fredericton","781"
"Woodstock Road","12","Fredericton","782"
"Woodstock Road","12","Fredericton","783"
"Woodstock Road","12","Fredericton","784"
"Woodstock Road","12","Fredericton","785"
"Sunshine Gardens","10","Fredericton","786"
"Sunshine Gardens","10","Fredericton","787"
"Sunshine Gardens","10","Fredericton","788"
"Sunshine Gardens","10","Fredericton","789"
"Sunshine Gardens","10","Fredericton","790"
"Sunshine Gardens","10","Fredericton","791"
"Sunshine Gardens","10","Fredericton","792"
"Sunshine Gardens","10","Fredericton","793"
"Sunshine Gardens","10","Fredericton","794"
"Sunshine Gardens","10","Fredericton","795"
"Downtown","10","Fredericton","796"
"Downtown","10","Fredericton","797"
"Downtown","10","Fredericton","798"
"Downtown","10","Fredericton","799"
"Downtown","11","Fredericton","800"
"Platt","10","Fredericton","801"
"Platt","10","Fredericton","802"
"Platt","11","Fredericton","803"
"Platt","11","Fredericton","804"
"Platt","10","Fredericton","805"
"Platt","10","Fredericton","806"
"Platt","11","Fredericton","807"
"Platt","11","Fredericton","808"
"Platt","10","Fredericton","809"
"Platt","0","Fredericton","810"
"Platt","11","Fredericton","811"
"Platt","11","Fredericton","812"
"Platt","10","Fredericton","813"
"Platt","11","Fredericton","814"
"Platt","10","Fredericton","815"
"Platt","10","Fredericton","816"
"Platt","10","Fredericton","817"
"Platt","10","Fredericton","818"
"Platt","10","Fredericton","819"
"Platt","11","Fredericton","820"
"Platt","10","Fredericton","821"
"Platt","10","Fredericton","822"
"Platt","10","Fredericton","823"
"Platt","10","Fredericton","824"
"Platt","10","Fredericton","825"
"Platt","0","Fredericton","826"
"Platt","11","Fredericton","827"
"Platt","10","Fredericton","828"
"Platt","10","Fredericton","829"
"Platt","10","Fredericton","830"
"Platt","11","Fredericton","831"
"Platt","11","Fredericton","832"
"Platt","10","Fredericton","833"
"Platt","11","Fredericton","834"
"Skyline Acrea","8","Fredericton","835"
"Platt","10","Fredericton","836"
"Platt","11","Fredericton","837"
"Platt","10","Fredericton","838"
"Platt","10","Fredericton","839"
"Platt","11","Fredericton","840"
"Platt","10","Fredericton","841"
"Platt","10","Fredericton","842"
"Platt","10","Fredericton","843"
"Platt","10","Fredericton","844"
"Platt","10","Fredericton","845"
"Platt","11","Fredericton","846"
"Platt","10","Fredericton","847"
"Platt","10","Fredericton","848"
"Platt","11","Fredericton","849"
"Platt","10","Fredericton","850"
"Platt","10","Fredericton","851"
"The Hill","10","Fredericton","852"
"College Hill","11","Fredericton","853"
"Platt","10","Fredericton","854"
"Platt","10","Fredericton","855"
"Southwood Park","7","Fredericton","856"
"Southwood Park","7","Fredericton","857"
"Southwood Park","7","Fredericton","858"
"Southwood Park","8","Fredericton","859"
"Southwood Park","8","Fredericton","860"
"Southwood Park","8","Fredericton","861"
"Southwood Park","8","Fredericton","862"
"Lincoln Heights","7","Fredericton","863"
"Lincoln Heights","7","Fredericton","864"
"Lincoln Heights","7","Fredericton","865"
"Lincoln Heights","7","Fredericton","866"
"Lincoln Heights","7","Fredericton","867"
"Lincoln Heights","7","Fredericton","868"
"Lincoln Heights","7","Fredericton","869"
"Lincoln Heights","7","Fredericton","870"
"Skyline Acrea","8","Fredericton","871"
"Lincoln Heights","7","Fredericton","872"
"Platt","10","Fredericton","873"
"Platt","11","Fredericton","874"
"Skyline Acrea","8","Fredericton","875"
"Lincoln Heights","7","Fredericton","876"
"Platt","10","Fredericton","877"
"Platt","10","Fredericton","878"
"College Hill","11","Fredericton","879"
"The Hill","10","Fredericton","880"
"Skyline Acrea","8","Fredericton","881"
"Lincoln Heights","7","Fredericton","882"
"Platt","11","Fredericton","883"
"Platt","10","Fredericton","884"
"College Hill","11","Fredericton","885"
"The Hill","9","Fredericton","886"
"Skyline Acrea","8","Fredericton","887"
"Lincoln Heights","7","Fredericton","888"
"Platt","11","Fredericton","889"
"Platt","10","Fredericton","890"
"College Hill","9","Fredericton","891"
"The Hill","9","Fredericton","892"
"Skyline Acrea","8","Fredericton","893"
"Lincoln Heights","7","Fredericton","894"
"Platt","11","Fredericton","895"
"Platt","10","Fredericton","896"
"College Hill","11","Fredericton","897"
"The Hill","10","Fredericton","898"
"Skyline Acrea","8","Fredericton","899"
"Skyline Acrea","8","Fredericton","900"
"Skyline Acrea","8","Fredericton","901"
"Skyline Acrea","8","Fredericton","902"
"Skyline Acrea","8","Fredericton","903"
"Skyline Acrea","8","Fredericton","904"
"Skyline Acrea","8","Fredericton","905"
"Skyline Acrea","8","Fredericton","906"
"Skyline Acrea","8","Fredericton","907"
"Skyline Acrea","8","Fredericton","908"
"Skyline Acrea","8","Fredericton","909"
"Skyline Acrea","8","Fredericton","910"
"Skyline Acrea","8","Fredericton","911"
"Poet's Hill","8","Fredericton","912"
"Poet's Hill","8","Fredericton","913"
"Poet's Hill","8","Fredericton","914"
"Poet's Hill","8","Fredericton","915"
"Dun's Crossing","8","Fredericton","916"
"Dun's Crossing","8","Fredericton","917"
"Dun's Crossing","8","Fredericton","918"
"Dun's Crossing","8","Fredericton","919"
"Dun's Crossing","8","Fredericton","920"
"Dun's Crossing","8","Fredericton","921"
"Dun's Crossing","8","Fredericton","922"
"Dun's Crossing","8","Fredericton","923"
"Dun's Crossing","8","Fredericton","924"
"Dun's Crossing","8","Fredericton","925"
"Dun's Crossing","8","Fredericton","926"
"Dun's Crossing","8","Fredericton","927"
"Dun's Crossing","8","Fredericton","928"
"Dun's Crossing","8","Fredericton","929"
"Dun's Crossing","8","Fredericton","930"
"Dun's Crossing","8","Fredericton","931"
"Dun's Crossing","8","Fredericton","932"
"Dun's Crossing","8","Fredericton","933"
"Southwood Park","7","Fredericton","934"
"Southwood Park","7","Fredericton","935"
"Southwood Park","7","Fredericton","936"
"Southwood Park","7","Fredericton","937"
"Southwood Park","7","Fredericton","938"
"Southwood Park","7","Fredericton","939"
"Southwood Park","7","Fredericton","940"
"Southwood Park","7","Fredericton","941"
"Southwood Park","7","Fredericton","942"
"The Hill","9","Fredericton","943"
"The Hill","9","Fredericton","944"
"The Hill","9","Fredericton","945"
"The Hill","11","Fredericton","946"
"The Hill","9","Fredericton","947"
"The Hill","9","Fredericton","948"
"The Hill","9","Fredericton","949"
"The Hill","10","Fredericton","950"
"The Hill","10","Fredericton","951"
"The Hill","11","Fredericton","952"
"The Hill","9","Fredericton","953"
"The Hugh John Flemming Forestry Center","11","Fredericton","954"
"The Hill","10","Fredericton","955"
"The Hill","10","Fredericton","956"
"The Hill","9","Fredericton","957"
"The Hill","9","Fredericton","958"
"The Hill","10","Fredericton","959"
"The Hill","9","Fredericton","960"
"The Hill","10","Fredericton","961"
"The Hill","10","Fredericton","962"
"The Hill","9","Fredericton","963"
"The Hill","9","Fredericton","964"
"The Hill","10","Fredericton","965"
"The Hill","9","Fredericton","966"
"The Hill","9","Fredericton","967"
"The Hill","10","Fredericton","968"
"Forest Hill","8","Fredericton","969"
"Forest Hill","8","Fredericton","970"
"Forest Hill","8","Fredericton","971"
"Forest Hill","8","Fredericton","972"
"Forest Hill","8","Fredericton","973"
"Forest Hill","8","Fredericton","974"
"Forest Hill","8","Fredericton","975"
"Forest Hill","8","Fredericton","976"
"Forest Hill","8","Fredericton","977"
"Forest Hill","8","Fredericton","978"
"Forest Hill","8","Fredericton","979"
"Forest Hill","8","Fredericton","980"
"Skyline Acrea","8","Fredericton","981"
"Skyline Acrea","8","Fredericton","982"
"Skyline Acrea","8","Fredericton","983"
"Skyline Acrea","8","Fredericton","984"
"Skyline Acrea","8","Fredericton","985"
"Skyline Acrea","8","Fredericton","986"
"Skyline Acrea","8","Fredericton","987"
"Skyline Acrea","8","Fredericton","988"
"College Hill","11","Fredericton","989"
"Lincoln Heights","7","Fredericton","990"
"Platt","10","Fredericton","991"
"Platt","10","Fredericton","992"
"Platt","10","Fredericton","993"
"Knowledge Park","0"," ","994"
"Platt","10","Fredericton","995"
"Platt","10","Fredericton","996"
"Diamond Street","1","Fredericton","997"
"Platt","10","Fredericton","998"
"Platt","11","Fredericton","999"
"Grasse Circle","0"," ","1000"
"Platt","10","Fredericton","1001"
"Platt","11","Fredericton","1002"
"Lincoln","7","Fredericton","1003"
"College Hill","11","Fredericton","1004"
"Brookside Estates","2","Fredericton","1005"
"Platt","10","Fredericton","1006"
"Platt","10","Fredericton","1007"
"Lincoln","7","Fredericton","1008"
"College Hill","11","Fredericton","1009"
"Brookside Estates","2","Fredericton","1010"
"Platt","11","Fredericton","1011"
"Platt","10","Fredericton","1012"
"Lincoln","7","Fredericton","1013"
"College Hill","11","Fredericton","1014"
"Brookside Estates","2","Fredericton","1015"
"Platt","10","Fredericton","1016"
"Platt","10","Fredericton","1017"
"Lincoln","7","Fredericton","1018"
"College Hill","9","Fredericton","1019"
"College Hill","11","Fredericton","1020"
"College Hill","11","Fredericton","1021"
"College Hill","11","Fredericton","1022"
"College Hill","11","Fredericton","1023"
"College Hill","11","Fredericton","1024"
"College Hill","11","Fredericton","1025"
"College Hill","11","Fredericton","1026"
"College Hill","11","Fredericton","1027"
"College Hill","11","Fredericton","1028"
"College Hill","11","Fredericton","1029"
"College Hill","11","Fredericton","1030"
"College Hill","11","Fredericton","1031"
"College Hill","11","Fredericton","1032"
"College Hill","11","Fredericton","1033"
"College Hill","11","Fredericton","1034"
"College Hill","11","Fredericton","1035"
"College Hill","11","Fredericton","1036"
"College Hill","11","Fredericton","1037"
"College Hill","11","Fredericton","1038"
"College Hill","11","Fredericton","1039"
"College Hill","11","Fredericton","1040"
"College Hill","11","Fredericton","1041"
"College Hill","11","Fredericton","1042"
"College Hill","11","Fredericton","1043"
"College Hill","11","Fredericton","1044"
"College Hill","11","Fredericton","1045"
"The Hill","10","Fredericton","1046"
"The Hill","10","Fredericton","1047"
"The Hill","9","Fredericton","1048"
"The Hill","9","Fredericton","1049"
"The Hill","10","Fredericton","1050"
"The Hill","9","Fredericton","1051"
"The Hill","9","Fredericton","1052"
"The Hill","9","Fredericton","1053"
"The Hill","9","Fredericton","1054"
"The Hill","9","Fredericton","1055"
"The Hill","9","Fredericton","1056"
"The Hill","9","Fredericton","1057"
"The Hill","10","Fredericton","1058"
"The Hill","9","Fredericton","1059"
"Brookside Estates","2","Fredericton","1060"
"Brookside Estates","2","Fredericton","1061"
"Brookside Estates","2","Fredericton","1062"
"Brookside Estates","2","Fredericton","1063"
"Brookside Estates","2","Fredericton","1064"
"Brookside Estates","2","Fredericton","1065"
"Williams / Hawkins Area","2","Fredericton","1066"
"Williams / Hawkins Area","2","Fredericton","1067"
"Williams / Hawkins Area","2","Fredericton","1068"
"Williams / Hawkins Area","2","Fredericton","1069"
"Platt","11","Fredericton","1070"
"Williams / Hawkins Area","2","Fredericton","1071"
"Platt","10","Fredericton","1072"
"Platt","10","Fredericton","1073"
"Lincoln","7","Fredericton","1074"
"Williams / Hawkins Area","2","Fredericton","1075"
"Platt","10","Fredericton","1076"
"Platt","11","Fredericton","1077"
"Platt","10","Fredericton","1078"
"Platt","10","Fredericton","1079"
"Platt","10","Fredericton","1080"
"Platt","10","Fredericton","1081"
"Platt","10","Fredericton","1082"
"Platt","10","Fredericton","1083"
"Platt","11","Fredericton","1084"
"Platt","10","Fredericton","1085"
"Platt","10","Fredericton","1086"
"Platt","10","Fredericton","1087"
"Platt","10","Fredericton","1088"
"Platt","10","Fredericton","1089"
"Platt","10","Fredericton","1090"
"Platt","10","Fredericton","1091"
"Platt","10","Fredericton","1092"
"Platt","10","Fredericton","1093"
"Platt","10","Fredericton","1094"
"Platt","10","Fredericton","1095"
"Platt","10","Fredericton","1096"
"Platt","11","Fredericton","1097"
"Platt","11","Fredericton","1098"
"Platt","10","Fredericton","1099"
"Platt","10","Fredericton","1100"
"Platt","10","Fredericton","1101"
"Platt","10","Fredericton","1102"
"Platt","10","Fredericton","1103"
"Platt","11","Fredericton","1104"
"Platt","10","Fredericton","1105"
"Platt","10","Fredericton","1106"
"Platt","10","Fredericton","1107"
"Platt","10","Fredericton","1108"
"Platt","10","Fredericton","1109"
"Platt","10","Fredericton","1110"
"Platt","11","Fredericton","1111"
"Platt","10","Fredericton","1112"
"Platt","10","Fredericton","1113"
"Lincoln","7","Fredericton","1114"
"Lincoln","7","Fredericton","1115"
"Lincoln","7","Fredericton","1116"
"Lincoln","7","Fredericton","1117"
"Lincoln","7","Fredericton","1118"
"Lincoln","7","Fredericton","1119"
"Lincoln","7","Fredericton","1120"
"Lincoln","7","Fredericton","1121"
"Colonial heights","12","Fredericton","1122"
"Colonial heights","12","Fredericton","1123"
"Colonial heights","12","Fredericton","1124"
"Colonial heights","12","Fredericton","1125"
"Colonial heights","12","Fredericton","1126"
"Colonial heights","12","Fredericton","1127"
"Colonial heights","12","Fredericton","1128"
"Colonial heights","11","Fredericton","1129"
"Colonial heights","11","Fredericton","1130"
"Garden Place","12","Fredericton","1131"
"Garden Place","12","Fredericton","1132"
"Garden Place","12","Fredericton","1133"
"Garden Place","12","Fredericton","1134"
"Fredericton South","0"," ","1135"
"The Hugh John Flemming Forestry Center","11","Fredericton","1136"
"The Hugh John Flemming Forestry Center","11","Fredericton","1137"
"Platt","10","Fredericton","1138"
"Platt","10","Fredericton","1139"
"Waterloo Row","11","Fredericton","1140"
"Waterloo Row","11","Fredericton","1141"
"Waterloo Row","11","Fredericton","1142"
"Waterloo Row","11","Fredericton","1143"
"Waterloo Row","11","Fredericton","1144"
"Waterloo Row","11","Fredericton","1145"
"Waterloo Row","11","Fredericton","1146"
"Waterloo Row","11","Fredericton","1147"
"Waterloo Row","11","Fredericton","1148"
"University Of New Brunswick","11","Fredericton","1149"
"University Of New Brunswick","11","Fredericton","1150"
"University Of New Brunswick","11","Fredericton","1151"
"University Of New Brunswick","11","Fredericton","1152"
"University Of New Brunswick","11","Fredericton","1153"
"University Of New Brunswick","11","Fredericton","1154"
"University Of New Brunswick","11","Fredericton","1155"
"University Of New Brunswick","11","Fredericton","1156"
"University Of New Brunswick","11","Fredericton","1157"
"University Of New Brunswick","11","Fredericton","1158"
"University Of New Brunswick","11","Fredericton","1159"
"University Of New Brunswick","11","Fredericton","1160"
"University Of New Brunswick","11","Fredericton","1161"
"University Of New Brunswick","11","Fredericton","1162"
"University Of New Brunswick","11","Fredericton","1163"
"Saint Thomas University","11","Fredericton","1164"
"College Hill","11","Fredericton","1165"
"College Hill","11","Fredericton","1166"
"College Hill","11","Fredericton","1167"
"College Hill","11","Fredericton","1168"
"College Hill","11","Fredericton","1169"
"Williams / Hawkins Area","2","Fredericton","1170"
"Williams / Hawkins Area","2","Fredericton","1171"
"Williams / Hawkins Area","2","Fredericton","1172"
"Williams / Hawkins Area","2","Fredericton","1173"
"Williams / Hawkins Area","2","Fredericton","1174"
"Williams / Hawkins Area","2","Fredericton","1175"
"Williams / Hawkins Area","2","Fredericton","1176"
"Williams / Hawkins Area","2","Fredericton","1177"
"Williams / Hawkins Area","2","Fredericton","1178"
"Williams / Hawkins Area","2","Fredericton","1179"
"Williams / Hawkins Area","2","Fredericton","1180"
"McKnight","2","Fredericton","1181"
"McKnight","2","Fredricton","1182"
"McKnight","2","Fredericton","1183"
"McKnight","2","Fredericton","1184"
"Shadowood Estates","2","Fredericton","1185"
"Shadowood Estates","2","Fredericton","1186"
"Shadowood Estates","2","Fredericton","1187"
"Shadowood Estates","2","Fredericton","1188"
"Shadowood Estates","2","Fredericton","1189"
"North Devon","3","Fredericton","1190"
"North Devon","3","Fredericton","1191"
"North Devon","3","Fredericton","1192"
"North Devon","3","Fredericton","1193"
"North Devon","3","Fredericton","1194"
"North Devon","3","Fredericton","1195"
"North Devon","3","Fredericton","1196"
"North Devon","3","Fredericton","1197"
"North Devon","3","Fredericton","1198"
"North Devon","3","Fredericton","1199"
"North Devon","3","Fredericton","1200"
"Prospect","9","Fredericton","1201"
"Prospect","10","Fredericton","1202"
"Prospect","9","Fredericton","1203"
"Prospect","9","Fredericton","1204"
"Prospect","10","Fredericton","1205"
"Prospect","9","Fredericton","1206"
"Prospect","10","Fredericton","1207"
"Prospect","9","Fredericton","1208"
"Prospect","11","Fredericton","1209"
"Prospect","10","Fredericton","1210"
"Prospect","10","Fredericton","1211"
"Prospect","12","Fredericton","1212"
"Prospect","9","Fredericton","1213"
"Prospect","9","Fredericton","1214"
"Prospect","10","Fredericton","1215"
"Prospect","9","Fredericton","1216"
"Prospect","10","Fredericton","1217"
"Prospect","11","Fredericton","1218"
"Prospect","9","Fredericton","1219"
"Prospect","10","Fredericton","1220"
"Prospect","9","Fredericton","1221"
"Prospect","9","Fredericton","1222"
"Prospect","9","Fredericton","1223"
"Prospect","11","Fredericton","1224"
"Prospect","9","Fredericton","1225"
"Prospect","10","Fredericton","1226"
"Prospect","9","Fredericton","1227"
"Prospect","10","Fredericton","1228"
"Prospect","10","Fredericton","1229"
"Prospect","9","Fredericton","1230"
"Prospect","9","Fredericton","1231"
"Prospect","9","Fredericton","1232"
"Prospect","10","Fredericton","1233"
"Prospect","11","Fredericton","1234"
"Prospect","9","Fredericton","1235"
"Prospect","9","Fredericton","1236"
"Prospect","11","Fredericton","1237"
"Prospect","10","Fredericton","1238"
"Prospect","10","Fredericton","1239"
"Lian / Valcore","12","Fredericton","1240"
"Lian / Valcore","12","Fredericton","1241"
"Lian / Valcore","12","Fredericton","1242"
"Lian / Valcore","12","Fredericton","1243"
"Lian / Valcore","12","Fredericton","1244"
"Lian / Valcore","12","Fredericton","1245"
"Lian / Valcore","12","Fredericton","1246"
"North Devon","4","Fredericton","1247"
"North Devon","4","Fredericton","1248"
"North Devon","4","Fredericton","1249"
"North Devon","4","Fredericton","1250"
"North Devon","4","Fredericton","1251"
"North Devon","4","Fredericton","1252"
"Rail Side","12","Fredericton","1253"
"North Devon","3","Fredericton","1254"
"North Devon","4","Fredericton","1255"
"North Devon","4","Fredericton","1256"
"North Devon","4","Fredericton","1257"
"North Devon","4","Fredericton","1258"
"North Devon","4","Fredericton","1259"
"North Devon","4","Fredericton","1260"
"North Devon","4","Fredericton","1261"
"North Devon","4","Fredericton","1262"
"North Devon","4","Fredericton","1263"
"North Devon","4","Fredericton","1264"
"North Devon","4","Fredericton","1265"
"North Devon","4","Fredericton","1266"
"North Devon","4","Fredericton","1267"
"North Devon","4","Fredericton","1268"
"North Devon","4","Fredericton","1269"
"North Devon","4","Fredericton","1270"
"North Devon","4","Fredericton","1271"
"North Devon","4","Fredericton","1272"
"North Devon","4","Fredericton","1273"
"North Devon","4","Fredericton","1274"
"North Devon","4","Fredericton","1275"
"North Devon","4","Fredericton","1276"
"North Devon","4","Fredericton","1277"
"North Devon","4","Fredericton","1278"
"North Devon","4","Fredericton","1279"
"North Devon","4","Fredericton","1280"
"North Devon","4","Fredericton","1281"
"North Devon","4","Fredericton","1282"
"North Devon","4","Fredericton","1283"
"North Devon","4","Fredericton","1284"
"North Devon","4","Fredericton","1285"
"North Devon","4","Fredericton","1286"
"North Devon","4","Fredericton","1287"
"North Devon","4","Fredericton","1288"
"North Devon","4","Fredericton","1289"
"North Devon","4","Fredericton","1290"
"North Devon","4","Fredericton","1291"
"North Devon","4","Fredericton","1292"
"North Devon","4","Fredericton","1293"
"North Devon","4","Fredericton","1294"
"North Devon","4","Fredericton","1295"
"North Devon","4","Fredericton","1296"
"North Devon","4","Fredericton","1297"
"North Devon","4","Fredericton","1298"
"North Devon","4","Fredericton","1299"
"North Devon","3","Fredericton","1300"
"North Devon","4","Fredericton","1301"
"North Devon","4","Fredericton","1302"
"Rail Side","12","Fredericton","1303"
"North Devon","3","Fredericton","1304"
"North Devon","4","Fredericton","1305"
"North Devon","4","Fredericton","1306"
"Rail Side","12","Fredericton","1307"
"North Devon","3","Fredericton","1308"
"North Devon","4","Fredericton","1309"
"Hanwell North","12","Fredericton","1310"
"Silverwood","12","Fredericton","1311"
"North Devon","3","Fredericton","1312"
"North Devon","4","Fredericton","1313"
"Hanwell North","12","Fredericton","1314"
"Silverwood","12","Fredericton","1315"
"Silverwood","12","Fredericton","1316"
"Silverwood","12","Fredericton","1317"
"Silverwood","12","Fredericton","1318"
"Silverwood","12","Fredericton","1319"
"Silverwood","12","Fredericton","1320"
"Prospect","9","Fredericton","1321"
"Prospect","9","Fredericton","1322"
"Prospect","9","Fredericton","1323"
"Prospect","9","Fredericton","1324"
"Prospect","9","Fredericton","1325"
"Prospect","9","Fredericton","1326"
"Prospect","9","Fredericton","1327"
"Prospect","9","Fredericton","1328"
"Prospect","9","Fredericton","1329"
"Prospect","9","Fredericton","1330"
"Prospect","9","Fredericton","1331"
"Prospect","9","Fredericton","1332"
"Prospect","9","Fredericton","1333"
"Prospect","9","Fredericton","1334"
"Prospect","11","Fredericton","1335"
"Prospect","11","Fredericton","1336"
"Prospect","9","Fredericton","1337"
"Prospect","9","Fredericton","1338"
"Prospect","9","Fredericton","1339"
"Prospect","9","Fredericton","1340"
"Prospect","9","Fredericton","1341"
"Prospect","9","Fredericton","1342"
"Prospect","9","Fredericton","1343"
"Prospect","9","Fredericton","1344"
"Prospect","9","Fredericton","1345"
"Prospect","11","Fredericton","1346"
"Prospect","9","Fredericton","1347"
"Prospect","9","Fredericton","1348"
"Prospect","9","Fredericton","1349"
"Prospect","9","Fredericton","1350"
"Prospect","9","Fredericton","1351"
"Prospect","9","Fredericton","1352"
"Prospect","10","Fredericton","1353"
"Prospect","12","Fredericton","1354"
"Prospect","10","Fredericton","1355"
"Prospect","12","Fredericton","1356"
"Prospect","11","Fredericton","1357"
"Prospect","9","Fredericton","1358"
"Prospect","9","Fredericton","1359"
"Prospect","9","Fredericton","1360"
"Prospect","10","Fredericton","1361"
"Prospect","9","Fredericton","1362"
"North Devon","3","Fredericton","1363"
"North Devon","3","Fredericton","1364"
"North Devon","3","Fredericton","1365"
"North Devon","3","Fredericton","1366"
"North Devon","3","Fredericton","1367"
"North Devon","3","Fredericton","1368"
"North Devon","3","Fredericton","1369"
"North Devon","3","Fredericton","1370"
"North Devon","3","Fredericton","1371"
"North Devon","3","Fredericton","1372"
"North Devon","3","Fredericton","1373"
"North Devon","4","Fredericton","1374"
"North Devon","4","Fredericton","1375"
"North Devon","4","Fredericton","1376"
"North Devon","4","Fredericton","1377"
"North Devon","3","Fredericton","1378"
"Hanwell North","12","Fredericton","1379"
"Hanwell North","12","Fredericton","1380"
"Hanwell North","12","Fredericton","1381"
"Hanwell North","12","Fredericton","1382"
"Hanwell North","12","Fredericton","1383"
"Hanwell North","12","Fredericton","1384"
"Doak Road","7","Fredericton","1385"
"Montogomery / Prospect East","8","Fredericton","1386"
"Montogomery / Prospect East","8","Fredericton","1387"
"Montogomery / Prospect East","11","Fredericton","1388"
"Montogomery / Prospect East","11","Fredericton","1389"
"Montogomery / Prospect East","9","Fredericton","1390"
"Montogomery / Prospect East","8","Fredericton","1391"
"Montogomery / Prospect East","8","Fredericton","1392"
"Montogomery / Prospect East","8","Fredericton","1393"
"Montogomery / Prospect East","8","Fredericton","1394"
"Montogomery / Prospect East","8","Fredericton","1395"
"Montogomery / Prospect East","8","Fredericton","1396"
"Montogomery / Prospect East","8","Fredericton","1397"
"Montogomery / Prospect East","8","Fredericton","1398"
"Montogomery / Prospect East","9","Fredericton","1399"
"Montogomery / Prospect East","8","Fredericton","1400"
"Montogomery / Prospect East","8","Fredericton","1401"
"Fredericton South","7","Fredericton","1402"
"Fredericton South","7","Fredericton","1403"
"Fredericton South","7","Fredericton","1404"
"Fredericton South","12","Fredericton","1405"
"Fredericton South","12","Fredericton","1406"
"Fredericton South","9","Fredericton","1407"
"Fredericton South","12","Fredericton","1408"
"Fredericton South","12","Fredericton","1409"
"Fredericton South","12","Fredericton","1410"
"Fredericton South","12","Fredericton","1411"
"Fredericton South","12","Fredericton","1412"
"Fredericton South","12","Fredericton","1413"
"Fredericton South","12","Fredericton","1414"
"Fredericton South","12","Fredericton","1415"
"Woodstock Road","12","Fredericton","1416"
"Woodstock Road","10","Fredericton","1417"
"Woodstock Road","10","Fredericton","1418"
"Woodstock Road","10","Fredericton","1419"
"Woodstock Road","10","Fredericton","1420"
"Woodstock Road","12","Fredericton","1421"
"Woodstock Road","10","Fredericton","1422"
"Woodstock Road","10","Fredericton","1423"
"Woodstock Road","10","Fredericton","1424"
"Woodstock Road","10","Fredericton","1425"
"North Devon","3","Fredericton","1426"
"North Devon","3","Fredericton","1427"
"North Devon","3","Fredericton","1428"
"North Devon","3","Fredericton","1429"
"North Devon","0","Fredericton","1430"
"North Devon","3","Fredericton","1431"
"North Devon","3","Fredericton","1432"
"North Devon","3","Fredericton","1433"
"North Devon","3","Fredericton","1434"
"North Devon","0","Fredericton","1435"
"North Devon","3","Fredericton","1436"
"North Devon","0","Fredericton","1437"
"North Devon","3","Fredericton","1438"
"North Devon","3","Fredericton","1439"
"North Devon","3","Fredericton","1440"
"North Devon","3","Fredericton","1441"
"North Devon","3","Fredericton","1442"
"North Devon","3","Fredericton","1443"
"North Devon","3","Fredericton","1444"
"North Devon","3","Fredericton","1445"
"North Devon","3","Fredericton","1446"
"North Devon","3","Fredericton","1447"
"North Devon","3","Fredericton","1448"
"North Devon","3","Fredericton","1449"
"Wesbett / Case","0"," ","1450"
"Serenity Lane","12","Fredericton","1451"
"Serenity Lane","12","Fredericton","1452"
"Monteith / Talisman","12","Fredericton","1453"
"Monteith / Talisman","12","Fredericton","1454"
"Monteith / Talisman","12","Fredericton","1455"
"Monteith / Talisman","12","Fredericton","1456"
"Monteith / Talisman","12","Fredericton","1457"
"Monteith / Talisman","12","Fredericton","1458"
"Monteith / Talisman","12","Fredericton","1459"
"Monteith / Talisman","12","Fredericton","1460"
