"Neighbourhood","Ward","City","FID"
"Youngs Crossing","4","Fredericton","172"
"Youngs Crossing","4","Fredericton","173"
"Barkers Point","6","Fredericton","174"
"Barkers Point","6","Fredericton","175"
"Barkers Point","6","Fredericton","176"
"Barkers Point","6","Fredericton","177"
"Barkers Point","6","Fredericton","178"
"Barkers Point","6","Fredericton","179"
"Barkers Point","6","Fredericton","180"
"Barkers Point","6","Fredericton","181"
"Barkers Point","6","Fredericton","182"
"Barkers Point","6","Fredericton","183"
"Barkers Point","6","Fredericton","184"
"Barkers Point","6","Fredericton","185"
"Barkers Point","6","Fredericton","186"
"Barkers Point","6","Fredericton","187"
"Barkers Point","6","Fredericton","188"
"Barkers Point","6","Fredericton","189"
"Barkers Point","6","Fredericton","190"
"Barkers Point","6","Fredericton","191"
"Barkers Point","6","Fredericton","192"
"Barkers Point","6","Fredericton","193"
"Barkers Point","6","Fredericton","194"
"Barkers Point","6","Fredericton","195"
"Barkers Point","6","Fredericton","196"
"Barkers Point","6","Fredericton","197"
"Barkers Point","6","Fredericton","198"
"Barkers Point","6","Fredericton","199"
"Barkers Point","6","Fredericton","200"
"Brookside","3","Fredericton","201"
"Marysville","5","Fredericton","202"
"Fredericton South","11","Fredericton","203"
"Fredericton South","12","Fredericton","204"
"Fredericton South","11","Fredericton","205"
"Fredericton South","11","Fredericton","206"
"Fredericton South","11","Fredericton","207"
"Fredericton South","11","Fredericton","208"
"Fredericton South","11","Fredericton","209"
"Fredericton South","11","Fredericton","210"
"Fredericton South","7","Fredericton","211"
"Fredericton South","7","Fredericton","212"
"Fredericton South","11","Fredericton","213"
"Fredericton South","11","Fredericton","214"
"Fredericton South","11","Fredericton","215"
"Fredericton South","11","Fredericton","216"
"Fredericton South","11","Fredericton","217"
"Fredericton South","11","Fredericton","218"
"Fredericton South","12","Fredericton","219"
"Fredericton South","7","Fredericton","220"
"Fredericton South","12","Fredericton","221"
"Fredericton South","7","Fredericton","222"
"Brookside","3","Fredericton","223"
"Brookside","3","Fredericton","224"
"Brookside","3","Fredericton","225"
"Brookside","3","Fredericton","226"
"Brookside","3","Fredericton","227"
"Brookside","3","Fredericton","228"
"Brookside","3","Fredericton","229"
"Brookside","3","Fredericton","230"
"Brookside","3","Fredericton","231"
"Brookside","3","Fredericton","232"
"Brookside","3","Fredericton","233"
"Brookside","3","Fredericton","234"
"Brookside","3","Fredericton","235"
"Brookside","3","Fredericton","236"
"Brookside","3","Fredericton","237"
"Brookside","3","Fredericton","238"
"Brookside","3","Fredericton","239"
"Brookside","3","Fredericton","240"
"Brookside","3","Fredericton","241"
"Brookside","3","Fredericton","242"
"Brookside","3","Fredericton","243"
"Brookside","3","Fredericton","244"
"Brookside","3","Fredericton","245"
"Brookside","3","Fredericton","246"
"Brookside","3","Fredericton","247"
"Brookside","3","Fredericton","248"
"Brookside","3","Fredericton","249"
"Brookside","3","Fredericton","250"
"Brookside","3","Fredericton","251"
"Brookside","3","Fredericton","252"
"Marysville","5","Fredericton","253"
"Brookside","3","Fredericton","254"
"Brookside","3","Fredericton","255"
"Brookside","3","Fredericton","256"
"Brookside","3","Fredericton","257"
"Brookside","3","Fredericton","258"
"Brookside","3","Fredericton","259"
"Brookside","3","Fredericton","260"
"Brookside","3","Fredericton","261"
"Brookside","3","Fredericton","262"
"Brookside","3","Fredericton","263"
"Brookside","3","Fredericton","264"
"Brookside","3","Fredericton","265"
"Brookside","3","Fredericton","266"
"Brookside","3","Fredericton","267"
"Brookside","3","Fredericton","268"
"Brookside","3","Fredericton","269"
"Brookside","3","Fredericton","270"
"Brookside","3","Fredericton","271"
"Brookside","3","Fredericton","272"
"Brookside","3","Fredericton","273"
"Brookside","3","Fredericton","274"
"Brookside","3","Fredericton","275"
"Brookside","3","Fredericton","276"
"Douglas","1","Fredericton","277"
"Douglas","1","Fredericton","278"
"Douglas","1","Fredericton","279"
"McLeod Hill","2","Fredericton","280"
"McLeod Hill","2","Fredericton","281"
"McLeod Hill","2","Fredericton","282"
"Marysville","5","Fredericton","283"
"Marysville","5","Fredericton","284"
"Marysville","5","Fredericton","285"
"Marysville","5","Fredericton","286"
"Marysville","0","Fredericton","287"
"Marysville","5","Fredericton","288"
"Marysville","5","Fredericton","289"
"Marysville","5","Fredericton","290"
"Marysville","5","Fredericton","291"
"Marysville","5","Fredericton","292"
"Marysville","5","Fredericton","293"
"Marysville","5","Fredericton","294"
"Marysville","5","Fredericton","295"
"Marysville","5","Fredericton","296"
"Marysville","5","Fredericton","297"
"Marysville","5","Fredericton","298"
"Marysville","5","Fredericton","299"
"Marysville","5","Fredericton","300"
"Marysville","5","Fredericton","301"
"Marysville","0","Fredericton","302"
"Marysville","5","Fredericton","303"
"Marysville","5","Fredericton","304"
"Marysville","5","Fredericton","305"
"Marysville","5","Fredericton","306"
"Marysville","5","Fredericton","307"
"Marysville","5","Fredericton","308"
"Marysville","5","Fredericton","309"
"Marysville","5","Fredericton","310"
"Marysville","5","Fredericton","311"
"Marysville","5","Fredericton","312"
"Marysville","5","Fredericton","313"
"Marysville","5","Fredericton","314"
"Marysville","5","Fredericton","315"
"Marysville","5","Fredericton","316"
"Marysville","5","Fredericton","317"
"Marysville","5","Fredericton","318"
"Marysville","5","Fredericton","319"
"Saint Mary's First Nation","3","Fredericton","320"
"Saint Mary's First Nation","3","Fredericton","321"
"Saint Mary's First Nation","4","Fredericton","322"
"Saint Mary's First Nation","3","Fredericton","323"
"Saint Mary's First Nation","3","Fredericton","324"
"Saint Mary's First Nation","3","Fredericton","325"
"Saint Mary's First Nation","3","Fredericton","326"
"Saint Mary's First Nation","3","Fredericton","327"
"Saint Mary's First Nation","3","Fredericton","328"
"Saint Mary's First Nation","3","Fredericton","329"
"Saint Mary's First Nation","4","Fredericton","330"
"Saint Mary's First Nation","3","Fredericton","331"
"Saint Mary's First Nation","3","Fredericton","332"
"Saint Mary's First Nation","3","Fredericton","333"
"Saint Mary's First Nation","3","Fredericton","334"
"Saint Mary's First Nation","3","Fredericton","335"
"Saint Mary's First Nation","3","Fredericton","336"
"Saint Mary's First Nation","3","Fredericton","337"
"Saint Mary's First Nation","3","Fredericton","338"
"Saint Mary's First Nation","3","Fredericton","339"
"Saint Mary's First Nation","3","Fredericton","340"
"Saint Mary's First Nation","3","Fredericton","341"
"Saint Mary's First Nation","3","Fredericton","342"
"Saint Mary's First Nation","3","Fredericton","343"
"Saint Mary's First Nation","3","Fredericton","344"
"Sandyville","5","Fredericton","345"
"Sandyville","5","Fredericton","346"
"Sandyville","5","Fredericton","347"
"Sandyville","5","Fredericton","348"
"Sandyville","5","Fredericton","349"
"Sandyville","5","Fredericton","350"
"Nashwaaksis","1","Fredericton","351"
"Nashwaaksis","1","Fredericton","352"
"Nashwaaksis","1","Fredericton","353"
"Nashwaaksis","1","Fredericton","354"
"Nashwaaksis","1","Fredericton","355"
"Nashwaaksis","1","Fredericton","356"
"Nashwaaksis","1","Fredericton","357"
"Nashwaaksis","1","Fredericton","358"
"Nashwaaksis","1","Fredericton","359"
"Nashwaaksis","1","Fredericton","360"
"Nashwaaksis","1","Fredericton","361"
"Nashwaaksis","1","Fredericton","362"
"Nashwaaksis","1","Fredericton","363"
"Nashwaaksis","1","Fredericton","364"
"Nashwaaksis","1","Fredericton","365"
"Nashwaaksis","1","Fredericton","366"
"Nashwaaksis","1","Fredericton","367"
"West Hills","1","Fredericton","368"
"West Hills","1","Fredericton","369"
"West Hills","1","Fredericton","370"
"West Hills","1","Fredericton","371"
"West Hills","2","Fredericton","372"
"Northbrook Heights","2","Fredericton","373"
"Northbrook Heights","2","Fredericton","374"
"Northbrook Heights","2","Fredericton","375"
